target,experiment,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_high,recall_high,recall_low,n_samples,n_groups
arousal_binary,no_sampling_all_features,Random Forest,0.5652173913043478,0.5643939393939394,0.5643939393939394,0.5652173913043478,0.5833333333333334,0.5833333333333334,0.5454545454545454,253,95
arousal_binary,no_sampling_all_features,KNN,0.5612648221343873,0.5609504132231405,0.5608257095941824,0.5614294893369642,0.5813953488372093,0.5681818181818182,0.5537190082644629,253,95
arousal_binary,smote_all_features,Random Forest,0.5612648221343873,0.5609504132231405,0.5608257095941824,0.5614294893369642,0.5813953488372093,0.5681818181818182,0.5537190082644629,253,95
arousal_binary,random_oversampling_all_features,Random Forest,0.5612648221343873,0.5606060606060606,0.5605783223020231,0.5613334721176236,0.5801526717557252,0.5757575757575758,0.5454545454545454,253,95
arousal_binary,random_oversampling_all_features,Extra Trees,0.5612648221343873,0.5595730027548209,0.5595030822078961,0.5607142784073588,0.5766423357664233,0.5984848484848485,0.5206611570247934,253,95
arousal_binary,random_oversampling_all_features,KNN,0.5573122529644269,0.5575068870523416,0.5571392848212053,0.5575198147362926,0.5793650793650794,0.553030303030303,0.5619834710743802,253,95
arousal_binary,smote_all_features,KNN,0.5533596837944664,0.5540633608815426,0.5533317709553941,0.5534852915702917,0.5772357723577236,0.5378787878787878,0.5702479338842975,253,95
arousal_binary,random_oversampling_all_features,Hist Gradient Boosting,0.5454545454545454,0.5457988980716253,0.5453408966605723,0.5456534308439986,0.568,0.5378787878787878,0.5537190082644629,253,95
arousal_binary,random_oversampling_top30_features,KNN,0.5454545454545454,0.5454545454545454,0.5451987557250715,0.5456677035624404,0.5669291338582677,0.5454545454545454,0.5454545454545454,253,95
arousal_binary,smote_all_features,Extra Trees,0.541501976284585,0.5416666666666666,0.541322830707677,0.5417169509768747,0.5634920634920635,0.5378787878787878,0.5454545454545454,253,95
arousal_binary,smote_all_features,Gradient Boosting,0.541501976284585,0.5402892561983471,0.5402882205513785,0.5413152446333225,0.5597014925373134,0.5681818181818182,0.512396694214876,253,95
arousal_binary,no_sampling_top30_features,KNN,0.541501976284585,0.5392561983471075,0.538901458019105,0.5404070212254355,0.5571428571428572,0.5909090909090909,0.48760330578512395,253,95
arousal_binary,random_oversampling_all_features,RBF SVM,0.5375494071146245,0.5385674931129476,0.5375494071146245,0.5375494071146245,0.5619834710743802,0.5151515151515151,0.5619834710743802,253,95
